Actual,Predicted
43.634,46.10248
161.1,153.73938
68.71111111,71.65996
35.4,35.103477
73.5,81.288086
165.5,162.95131
89.8,88.820076
140.8,139.21391
150.0,144.53038
79.9,81.70412
51.7,54.45851
79.7,78.993034
189.3,161.30975
72.2,71.74389
49.5,45.887638
49.1,52.460583
112.5,106.14229
45.1,50.997913
110.9,110.31821
117.9,124.520966
66.9,71.72441
166.8,164.47563
92.4,90.143936
41.1,43.523533
103.8,108.10608
79.8,83.98634
61.7,60.869884
45.0,65.07879
102.0,107.358894
51.55555556,53.329395
96.6,96.33291
61.2,64.215096
128.6,132.40984
108.5,78.01144
102.6222222,103.13208
23.9,21.028866
81.7,84.60953
105.4,140.4954
117.1,110.309616
136.8888889,131.17479
83.4,79.3761
84.5,75.94932
48.3,52.920925
100.2,104.34434
52.7,56.103024
58.2,60.574894
49.14,50.63197
120.9,116.89264
14.7,16.87136
131.8,134.82718
34.8,39.53636
74.2,73.95964
63.3,63.345997
102.5,109.0362
108.3,109.94696
73.8,71.734665
117.6,111.660164
84.8,74.27579
52.9,46.87245
71.0,70.8966
80.44444444,86.33655
59.1,58.54041
71.9,77.71263
56.6,58.549755
36.5,38.568523
89.3,85.07217
110.0,105.79263
102.2222222,101.627464
75.2,74.287796
122.4,91.17282
93.3,78.891846
28.8,30.666391
268.0,270.19632
40.0,41.14956
67.2,72.568054
114.1,114.32941
78.4,79.60118
31.4,35.257984
127.0,126.86066
106.7,101.57895
84.3,91.750656
184.3,208.92964
100.3,102.50264
84.0,90.93576
75.0,81.81237
108.9,110.07869
77.845,76.85851
106.5,109.653656
152.7,151.27364
128.8444444,133.04137
137.2,140.8858
38.5,45.441216
105.1,110.53609
62.2,68.94501
116.9333333,124.00061
102.9,102.728516
72.9,86.39533
56.4,66.020424
24.5,28.335737
90.0,93.49596
85.8,85.26829
41.0,43.55651
102.0,101.39289
104.9,95.91967
94.6,98.34668
132.0,126.903076
99.4,101.93091
111.55,147.03694
67.186,70.38919
75.0,77.80612
45.5,46.60735
153.3,159.14119
21.4,23.231419
66.5,63.23998
138.6,135.94725
60.0,63.345013
86.26666667,90.89851
199.1,176.79482
70.5,74.36694
106.8,102.01584
136.8,111.24686
79.11111111,81.76724
63.4,73.23169
33.2,36.748405
92.44444444,91.12966
99.8,105.80464
99.3,96.09779
91.6,96.36812
59.2,65.83078
86.2,99.42986
43.7,45.91152
177.7,169.59355
43.4,48.902386
60.8,62.33099
73.33333333,70.89042
107.6,109.74904
184.1,172.13182
116.1,115.257675
97.82222222,105.76342
230.0,162.33136
158.0444444,156.81685
148.1333333,153.68665
153.0,145.38008
69.0,70.20134
139.2,137.83519
90.2,100.14867
41.5,45.953518
86.8,87.29915
80.3,92.294365
104.4,105.9745
155.4,145.96794
60.5,61.960293
85.3,92.36058
93.95555556,100.68311
134.5,143.64308
30.6,32.4868
101.1,105.499664
80.1,85.27994
131.5,153.63176
112.6,113.604965
57.0,64.37776
62.4,64.938095
60.7,65.73016
85.6,84.11159
193.0,174.53911
144.4,139.80673
45.8,52.02398
102.2,108.577995
77.9,88.874596
127.9,127.49008
125.7,125.96295
85.9,76.750694
39.446,45.4561
78.7,76.69606
112.1,111.80373
55.4,55.11014
95.5,99.58534
85.5,88.56303
99.4,102.572
115.2444444,128.7503
105.7,108.35332
123.6,116.528854
41.6,45.649353
58.4,62.034615
118.7,117.25482
59.5,62.534985
51.3,55.13091
108.7,97.43771
61.0,64.48495
225.3,194.43709
103.0,108.1346
104.4,87.11369
189.4,173.9517
104.0,110.08537
84.2,80.33216
138.5,103.201904
46.6,52.698498
67.2,68.72354
72.3,76.60938
117.2,122.76839
150.8,142.82315
108.3,107.00015
112.4,122.07982
118.8,120.28903
76.4,79.65993
112.9,111.558304
81.0,75.730804
108.8,103.94598
110.0,117.81481
49.2,51.219475
67.1,67.49008
90.0,94.41379
191.4,137.38664
71.6,71.58804
102.5,109.324844
42.4,34.704983
57.1,58.310886
105.9,113.02173
117.1,113.833084
53.6,58.734875
96.6,96.8206
92.4,96.819275
65.2,65.63163
155.1,153.8071
45.6,43.630657
121.7,122.477295
75.5,77.8516
90.9,91.17179
50.4,56.13653
105.6,111.25207
133.8,132.35754
129.3,127.33093
165.9,167.55965
81.6,93.74707
85.3,83.807396
117.1,102.60034
103.4,106.73712
68.4,72.91342
67.0,67.076836
116.7,119.46919
42.2,44.79643
123.8,120.7504
84.0,97.6814
44.88888889,56.054737
204.7,187.54243
189.4,153.2609
122.0,123.31775
51.9,52.252308
98.5,133.95284
94.6,104.22704
45.7,46.786
23.3,28.627987
84.9,84.90606
43.4,50.275356
132.6222222,140.89528
82.0,79.54385
39.1,39.425167
62.22222222,60.163845
159.6,157.63516
84.3,85.839096
51.8,56.836704
103.0,99.61311
71.3,75.90906
156.54,159.9423
147.4,149.24298
64.8,71.7821
108.5,101.94069
101.2,103.508415
44.8,48.556767
49.2,52.700855
194.4,181.4551
