Actual,Predicted
43.634,42.23134
161.1,173.84375
68.71111,67.70127
35.4,35.002007
73.5,74.03257
165.5,166.0323
89.8,88.76063
140.8,135.73958
150.0,169.3946
79.9,78.938065
51.7,51.425777
79.7,78.804276
189.3,164.25243
72.2,72.43104
49.5,50.717644
49.1,48.619164
112.5,110.63282
45.1,44.50968
110.9,110.477715
117.9,120.12187
66.9,67.047
166.8,165.05428
92.4,92.861885
41.1,41.89041
103.8,103.45893
79.8,78.79865
61.7,62.030704
45.0,59.52195
102.0,102.49199
51.555557,50.728874
96.6,96.02693
61.2,61.32647
128.6,125.13835
108.5,84.485146
102.62222,101.76774
23.9,23.525066
81.7,82.21728
105.4,120.28479
117.1,116.756645
136.88889,130.30003
83.4,80.52891
84.5,76.528755
48.3,44.870865
100.2,100.09022
52.7,49.172684
58.2,57.686386
49.14,48.456398
120.9,123.62543
14.7,14.525711
131.8,131.55466
34.8,33.111275
74.2,72.324844
63.3,63.2548
102.5,103.76773
108.3,106.37183
73.8,73.508
117.6,128.38554
84.8,83.64147
52.9,48.923195
71.0,69.43466
80.44444,80.46694
59.1,60.008995
71.9,71.55831
56.6,56.17769
36.5,35.55016
89.3,88.58418
110.0,104.690956
102.22222,101.51536
75.2,73.75904
122.4,96.36031
93.3,90.51561
28.8,28.789133
268.0,216.3055
40.0,40.850594
67.2,66.28679
114.1,113.63557
78.4,77.96689
31.4,29.82848
127.0,130.82912
106.7,105.5131
84.3,89.377846
184.3,193.85912
100.3,100.77587
84.0,85.79861
75.0,73.096565
108.9,108.78588
77.845,79.66381
106.5,105.12914
152.7,161.53882
128.84445,125.17101
137.2,136.98512
38.5,39.44735
105.1,106.07163
62.2,61.110336
116.933334,118.23267
102.9,98.31347
72.9,79.89735
56.4,55.93898
24.5,26.762022
90.0,89.67103
85.8,87.72863
41.0,41.12522
102.0,102.30053
104.9,100.34285
94.6,93.70936
132.0,132.11919
99.4,100.13207
111.55,125.79023
67.186,66.18979
75.0,74.06121
45.5,45.681686
153.3,151.69838
21.4,20.321518
66.5,65.558975
138.6,137.2781
60.0,58.805584
86.26667,85.99471
199.1,196.59175
70.5,68.774414
106.8,106.36989
136.8,137.45676
79.111115,77.47062
63.4,72.01603
33.2,31.586102
92.44444,88.243355
99.8,98.67727
99.3,99.26406
91.6,91.53351
59.2,59.63923
86.2,87.01745
43.7,44.65496
177.7,167.49315
43.4,44.79163
60.8,63.751167
73.333336,70.22108
107.6,105.46442
184.1,190.00221
116.1,116.47357
97.82222,97.64875
230.0,186.63182
158.04445,151.80125
148.13333,148.29745
153.0,141.08702
69.0,67.83082
139.2,146.46771
90.2,89.63594
41.5,41.853783
86.8,85.866066
80.3,80.47247
104.4,104.314384
155.4,151.39275
60.5,58.318916
85.3,85.78448
93.95556,93.50966
134.5,120.79507
30.6,30.715065
101.1,100.67953
80.1,80.86571
131.5,146.77031
112.6,112.29714
57.0,60.805943
62.4,63.119553
60.7,59.501328
85.6,85.936874
193.0,175.29329
144.4,143.03484
45.8,45.95585
102.2,104.450294
77.9,79.24749
127.9,125.51649
125.7,126.09251
85.9,83.07212
39.446,38.86425
78.7,75.58045
112.1,111.813995
55.4,55.096
95.5,95.135826
85.5,82.84672
99.4,97.95643
115.244446,114.41308
105.7,105.60807
123.6,122.24622
41.6,42.30265
58.4,57.480816
118.7,120.28361
59.5,59.708088
51.3,46.991524
108.7,107.458336
61.0,58.277977
225.3,202.76872
103.0,103.21674
104.4,89.188644
189.4,155.48912
104.0,103.73648
84.2,82.45498
138.5,134.07462
46.6,46.50122
67.2,66.41613
72.3,73.268036
117.2,118.781296
150.8,150.86668
108.3,108.57829
112.4,114.91221
118.8,118.79609
76.4,76.45084
112.9,112.54513
81.0,84.47908
108.8,108.73552
110.0,122.78238
49.2,49.300293
67.1,65.91938
90.0,89.82546
191.4,179.33086
71.6,71.16443
102.5,102.77427
42.4,41.605747
57.1,55.83165
105.9,106.78829
117.1,116.18122
53.6,57.35546
96.6,97.7349
92.4,93.22788
65.2,65.37074
155.1,156.54051
45.6,45.0618
121.7,120.5378
75.5,74.67518
90.9,89.78466
50.4,48.98278
105.6,106.56797
133.8,150.17825
129.3,128.78993
165.9,171.19426
81.6,83.06397
85.3,86.99734
117.1,114.26937
103.4,103.91316
68.4,64.48615
67.0,66.80576
116.7,117.49654
42.2,42.32974
123.8,134.4257
84.0,82.4943
44.88889,43.06761
204.7,179.26631
189.4,164.16537
122.0,121.86249
51.9,51.071117
98.5,114.73999
94.6,84.820274
45.7,47.10078
23.3,24.250168
84.9,81.99555
43.4,42.24942
132.62222,132.43361
82.0,78.095436
39.1,39.278248
62.22222,60.790756
159.6,157.81848
84.3,83.538704
51.8,51.86744
103.0,104.44946
71.3,68.724464
156.54,136.04425
147.4,147.51051
64.8,63.545567
108.5,107.90897
101.2,96.6097
44.8,44.74551
49.2,45.48316
194.4,191.19556
132.9,128.05049
90.1,83.855095
26.7,25.964523
76.3,79.28425
172.4,173.90309
110.13333,110.11716
91.0,90.208
17.4,17.594072
67.8,62.559696
66.9,67.43502
30.4,30.830227
93.0,103.94526
89.333336,86.960396
70.8,70.477394
67.6,65.87279
127.2,116.29475
75.0,74.474335
85.77778,82.832886
27.2,27.107172
113.333336,117.1503
108.1,106.914116
58.22222,55.89267
56.0,56.713825
104.0,106.06072
148.5,155.53828
72.0,69.85056
100.0,99.73556
163.5,182.33769
88.26667,87.65931
144.7,146.0831
86.9,84.59928
90.0,89.983055
65.0,73.04928
115.44,107.596504
150.3,147.91994
106.53333,106.27672
99.4,99.47399
149.2,147.62929
77.022224,75.538246
209.1,197.31752
72.4,72.55466
72.2,70.33442
98.2,95.29168
95.6,93.26423
67.5,66.3266
64.44444,64.93884
97.2,96.33262
139.6,142.00502
92.4,91.29508
94.2,97.52674
89.5,90.674034
159.9,150.32698
82.4,80.25889
90.4,88.52375
85.0,84.70017
153.4,132.92232
61.77778,59.676838
66.5,66.31666
113.3,114.05099
109.9,109.49217
77.7,77.816765
86.8,91.07026
69.1,64.14269
86.4,86.23974
134.3,134.76772
39.7,39.766975
116.5,117.671104
56.0,53.73279
74.4,72.09311
83.0,85.050026
130.4,136.18031
113.86667,113.73015
92.4,87.14284
69.7,74.13438
31.555555,29.888481
79.7,84.03608
101.9,101.66158
50.7,63.582382
118.9,119.32412
111.6,107.988144
122.1,119.69026
91.0,91.560234
