Actual,Predicted
49.1,50.54429
64.4,64.498505
117.0,116.8974
36.5,41.06375
67.8,79.09651
65.1,66.60846
51.7,52.375134
56.4,56.01947
127.3,131.31572
74.4,72.83841
142.2,136.38786
79.1,73.66472
102.0,102.732635
40.0,43.412483
181.5,188.90257
52.7,55.94521
101.2,103.936615
30.2,31.19339
95.6,98.350555
58.2,61.730534
91.6,95.05696
83.3,83.8495
141.1,139.03712
118.9,121.81
60.5,61.050053
163.5,164.55812
146.9,145.08846
129.3,128.26448
95.6,92.63837
53.6,53.986088
151.9,142.71779
67.1,68.9632
72.9,83.48875
75.0,74.23596
38.7,35.977642
88.8,84.52286
165.9,176.43199
103.6,103.17679
55.3,61.402454
84.9,84.36237
28.7,29.870974
80.3,80.783325
85.3,86.56476
148.5,158.43416
72.0,63.67332
41.1,39.705242
79.4,78.90438
113.8,115.85697
108.5,84.092964
104.0,120.374596
113.3,118.6539
123.8,128.0363
102.6,115.24932
94.5,91.276505
18.2,32.37163
51.6,49.28105
60.8,69.40107
82.0,83.09811
77.6,83.81258
45.6,44.89821
102.2,103.241615
76.6,75.04208
49.9,50.483517
105.9,105.54391
110.9,112.49457
104.9,102.51001
76.4,76.58072
28.8,31.46816
49.2,49.865826
116.0,120.653244
51.9,53.273518
70.5,73.14726
131.5,153.04234
111.6,110.99018
132.6,136.40952
137.2,136.00928
49.5,59.23395
115.4,114.63603
67.2,68.478714
36.5,37.282345
66.5,61.340843
117.0,115.26847
48.0,49.14921
72.2,73.031845
98.9,98.004196
95.5,92.99815
115.3,114.08342
100.3,93.66287
99.9,100.14878
150.8,149.15996
104.0,105.90347
19.7,22.655268
59.2,59.088886
35.4,33.286633
138.4,150.30261
133.8,155.58025
116.7,119.55942
81.1,80.55502
81.6,82.022514
13.1,14.513313
109.3,111.587616
104.5,107.18283
72.0,75.247955
45.1,46.07117
166.8,162.18
105.4,120.02161
52.1,51.36448
50.9,48.582394
72.9,71.15472
89.2,89.04799
72.3,70.40076
149.1,160.47366
101.3,119.82403
68.5,67.15296
85.0,89.68216
61.8,41.928066
18.1,22.660044
56.6,57.429577
34.5,41.75597
104.4,93.46846
110.9,127.64574
66.9,65.12427
102.2,100.373184
72.9,85.19461
44.9,50.962597
39.4,48.14043
97.8,98.50687
84.0,85.9563
34.8,38.74117
169.3,170.08519
112.1,133.07744
60.0,60.904484
75.8,75.0464
160.1,166.6931
49.1,46.75176
139.6,140.1439
77.9,84.296234
108.9,111.35808
59.1,57.091274
86.8,98.977356
156.5,130.54373
81.7,88.71193
67.0,67.662994
77.0,75.43037
