Actual,Predicted
83.2,82.71143
62.2,62.944
94.5,98.34357
123.6,127.2395
102.9,104.103455
23.3,24.639475
147.4,151.48447
30.6,31.868383
68.4,68.7907
105.1,108.52426
80.4,81.89078
117.1,116.61418
91.3,94.00003
193.0,180.04526
103.4,104.237045
95.6,96.66155
66.9,68.30192
84.9,86.00762
67.2,67.88528
21.6,22.055536
45.0,48.93579
74.4,74.68648
189.3,176.20164
117.2,117.525604
42.3,41.8395
117.9,118.68394
116.7,119.93817
165.9,168.86852
43.4,43.117126
45.7,45.408127
67.2,66.79145
26.7,27.76663
122.4,133.88478
101.1,101.32175
68.5,69.58745
18.1,17.611414
156.5,142.71329
159.9,157.69536
169.3,176.71986
69.1,69.01066
30.2,30.843369
137.2,138.57414
125.0,132.22205
146.9,143.7321
67.2,69.467125
26.2,29.642216
106.5,107.77843
129.3,128.8952
81.1,81.51764
102.5,104.76762
183.0,188.78209
130.4,127.16858
154.5,164.35735
101.2,102.32828
83.1,85.50095
50.4,50.150276
94.2,94.63203
97.8,99.78624
124.8,126.96374
117.0,118.63878
86.2,89.01625
52.1,52.00479
44.5,43.563866
108.7,108.78299
79.7,79.05612
38.9,38.96247
44.9,45.24279
41.0,40.518227
76.2,78.208496
104.4,100.5246
49.9,50.32924
43.7,44.096695
76.6,77.9541
112.1,131.86705
184.3,194.6422
79.6,80.62756
117.0,118.09691
80.3,80.446495
116.5,117.49255
76.1,79.14029
39.7,40.744766
19.7,20.432728
155.1,155.69936
93.5,94.1196
133.8,142.3013
73.1,74.4968
134.2,134.45906
95.5,95.79944
51.6,51.400658
122.0,122.28091
75.5,75.17794
78.7,80.04215
86.8,84.89345
81.0,86.06283
96.6,97.32422
51.9,51.088234
158.6,162.82204
104.9,104.99959
110.0,111.03731
21.4,21.656929
108.5,92.737755
99.4,101.9406
84.9,87.59575
67.9,68.0441
102.0,103.09599
72.0,72.22653
98.9,99.52521
86.4,87.03305
43.7,43.259674
41.6,41.293304
71.1,72.539116
57.0,57.884247
88.5,88.3974
116.0,114.70735
80.3,81.44959
45.8,47.374832
66.4,66.01332
31.4,32.06631
79.1,79.71605
96.7,97.032394
73.3,72.029144
28.2,28.813522
23.9,24.802105
33.2,33.90441
86.9,88.239555
103.0,104.61066
43.4,45.635895
24.5,26.071724
79.9,80.872765
91.6,93.27684
81.7,83.188324
39.4,41.638916
18.2,17.630737
36.5,37.803185
85.8,87.25107
141.1,140.86055
94.0,95.33179
70.5,71.4973
51.3,51.507973
86.9,88.01376
105.9,107.36058
