Actual,Predicted
49.1,43.229786
64.4,67.16977
117.0,117.915436
36.5,35.67353
67.8,74.08421
65.1,68.66853
51.7,52.375793
56.4,60.473896
127.3,133.13266
74.4,72.330246
142.2,116.117134
79.1,68.76781
102.0,102.95102
40.0,39.559788
181.5,179.12607
52.7,54.92884
101.2,99.97136
30.2,30.6105
95.6,94.92647
58.2,58.39387
91.6,93.98652
83.3,81.60498
141.1,153.67706
118.9,120.14358
60.5,65.741066
163.5,202.22421
146.9,137.23633
129.3,128.86665
95.6,96.29913
53.6,55.595226
151.9,154.27026
67.1,70.01251
72.9,85.85985
75.0,75.21467
38.7,37.686302
88.8,88.4246
165.9,174.69287
103.6,102.19475
55.3,59.016613
84.9,83.05011
28.7,28.15029
80.3,79.58594
85.3,90.33528
148.5,145.87878
72.0,67.262115
41.1,37.68059
79.4,79.33092
113.8,106.11126
108.5,70.5336
104.0,111.29236
113.3,113.00338
123.8,124.81119
102.6,108.2343
94.5,95.8893
18.2,39.646103
51.6,44.97555
60.8,64.49325
82.0,82.1841
77.6,85.89042
45.6,44.280727
102.2,102.64491
76.6,76.9308
49.9,50.52947
105.9,112.07419
110.9,110.61109
104.9,85.929306
76.4,77.139786
28.8,29.163685
49.2,47.812202
116.0,121.10596
51.9,52.680935
70.5,74.69211
131.5,132.41707
111.6,104.897705
132.6,135.02322
137.2,138.41177
49.5,93.24004
115.4,101.125984
67.2,69.687965
36.5,36.423023
66.5,65.7639
117.0,124.80573
48.0,65.33843
72.2,73.98777
98.9,99.31448
95.5,96.84902
115.3,116.09765
100.3,97.53739
99.9,99.84648
150.8,154.98859
104.0,102.21217
19.7,20.572227
59.2,63.224606
35.4,34.34982
138.4,144.02531
133.8,155.61154
116.7,118.08191
81.1,80.039536
81.6,82.19626
13.1,12.405307
109.3,108.94522
104.5,106.42631
72.0,69.15961
45.1,45.167164
166.8,154.95276
105.4,93.77879
52.1,52.61394
50.9,42.80769
72.9,72.45735
89.2,89.25674
72.3,71.75894
149.1,148.69516
101.3,110.31732
68.5,69.89331
85.0,84.85071
61.8,53.104702
18.1,22.754646
56.6,57.002903
34.5,30.66896
104.4,80.08035
110.9,111.79787
66.9,64.89242
102.2,108.18223
72.9,75.37194
44.9,45.413845
39.4,39.53249
97.8,97.96623
84.0,81.28722
34.8,27.307587
169.3,166.7331
112.1,114.25533
60.0,58.620014
75.8,72.47854
160.1,158.44125
49.1,49.18877
139.6,139.58032
77.9,79.493866
108.9,100.59102
59.1,63.470215
86.8,86.63864
156.5,97.34054
81.7,82.04901
67.0,68.6647
77.0,76.72077
108.2,101.69184
94.2,91.891136
51.8,53.17833
62.2,75.396935
79.9,80.914246
33.2,32.760242
109.7,82.11591
26.2,26.8159
58.4,58.61549
113.3,111.580666
153.8,139.67393
105.7,105.124825
97.5,100.83837
90.6,76.64671
96.7,96.857834
134.5,95.07091
91.0,84.862686
125.0,128.99777
116.5,138.92178
230.0,167.82878
23.9,27.013643
57.1,57.178143
199.1,188.42804
141.2,153.9078
41.0,45.293606
135.5,135.92726
127.2,115.91376
90.7,90.849655
102.5,102.29387
75.0,71.61022
62.2,63.807056
75.5,77.143
79.6,80.43793
91.6,94.04848
35.6,26.176243
112.2,114.00023
85.8,95.6461
79.8,79.04564
71.1,73.258354
106.8,108.394775
78.5,78.29466
130.4,127.95436
