Actual,Predicted
43.634,42.877846
161.1,176.4616
68.71111,67.70821
35.4,35.76748
73.5,74.869865
165.5,170.87762
89.8,86.75013
140.8,135.48444
150.0,163.65959
79.9,77.972565
51.7,52.51404
79.7,77.18631
189.3,155.00983
72.2,68.05201
49.5,50.950333
49.1,49.58204
112.5,111.456215
45.1,44.83963
110.9,110.71531
117.9,123.225136
66.9,65.14685
166.8,156.78809
92.4,97.2337
41.1,40.560997
103.8,102.48779
79.8,81.38803
61.7,59.415226
45.0,54.698875
102.0,104.2579
51.555557,51.32627
96.6,97.719406
61.2,59.809883
128.6,125.10766
108.5,81.23444
102.62222,100.44007
23.9,23.603355
81.7,84.73577
105.4,118.18124
117.1,116.17791
136.88889,126.98395
83.4,78.334984
84.5,66.701904
48.3,45.525784
100.2,103.25721
52.7,51.94803
58.2,59.5353
49.14,51.08471
120.9,129.45493
14.7,14.864985
131.8,125.68482
34.8,33.33382
74.2,69.75448
63.3,63.33808
102.5,103.77952
108.3,106.784035
73.8,73.890144
117.6,124.27283
84.8,79.11453
52.9,47.875397
71.0,70.973175
80.44444,82.86229
59.1,62.21449
71.9,71.02787
56.6,56.440483
36.5,37.419815
89.3,87.24583
110.0,107.09619
102.22222,105.92605
75.2,74.47519
122.4,99.42714
93.3,89.16051
28.8,28.595085
268.0,199.58717
40.0,42.16252
67.2,68.09902
114.1,106.21374
78.4,76.73383
31.4,30.163734
127.0,140.17162
106.7,106.46328
84.3,93.906654
184.3,195.82399
100.3,95.21969
84.0,83.571625
75.0,71.25338
108.9,111.784805
77.845,75.612526
106.5,108.293076
152.7,165.67816
128.84445,128.2399
137.2,138.09088
38.5,38.60482
105.1,106.278465
62.2,62.322098
116.933334,120.755646
102.9,99.03785
72.9,81.56105
56.4,57.057144
24.5,24.42128
90.0,87.02459
85.8,90.81192
41.0,42.22155
102.0,103.59768
104.9,98.75504
94.6,97.89591
132.0,133.91716
99.4,101.96265
111.55,121.92652
67.186,69.127464
75.0,79.98069
45.5,47.36606
153.3,151.56328
21.4,21.143291
66.5,65.77851
138.6,136.07735
60.0,58.79426
