Model,Train set,,,,Test set,,,
,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE
Linear Regression,0.391,23.19 ,33.52 ,31.15 ,0.477,21.81 ,27.62 ,28.71 
Support Vector Regression,0.869,8.40 ,8.73 ,14.42 ,0.779,10.91 ,12.89 ,18.65 
Randon Forest Regression,0.982,3.77 ,4.85 ,5.42 ,0.926,8.21 ,11.58 ,10.78 
Gradient Boosting Regression,0.995,1.82 ,2.25 ,2.95 ,0.974,4.15 ,5.40 ,6.43 
LightGBM,0.995,1.29 ,1.56 ,2.92 ,0.986,3.38 ,4.62 ,4.77 
XGBoost,0.991,2.45 ,3.05 ,3.83 ,0.978,3.98 ,5.08 ,5.87 
Artificial Neural Network,0.944,5.74 ,6.45 ,9.45 ,0.963,5.35 ,6.18 ,7.63 
Transformer,,,,,,,,
CGCNN,,,,,,,,
another DL Model,,,,,,,,
