Actual,Predicted
43.634,42.484497
161.1,162.88478
68.71111111,65.60896
35.4,30.732618
73.5,93.837975
165.5,165.13727
89.8,86.78398
140.8,135.65005
150.0,152.03691
79.9,80.237236
51.7,48.563847
79.7,79.406395
189.3,188.84706
72.2,70.99894
49.5,50.441456
49.1,48.846863
112.5,111.271996
45.1,44.538185
110.9,111.64128
117.9,117.61655
66.9,65.72503
166.8,167.27556
92.4,98.74507
41.1,42.149014
103.8,103.04579
79.8,80.79564
61.7,62.722527
45.0,43.90089
102.0,99.04633
51.55555556,50.61564
96.6,93.76586
61.2,62.92546
128.6,123.57115
108.5,98.374214
102.6222222,103.72892
23.9,31.552069
81.7,83.48563
105.4,106.897095
117.1,116.77462
136.8888889,129.34024
83.4,82.141846
84.5,87.46118
48.3,54.208267
100.2,100.44075
52.7,49.784138
58.2,60.021507
49.14,48.97417
120.9,119.19318
14.7,21.008537
131.8,132.5434
34.8,33.65718
74.2,74.10165
63.3,61.778667
102.5,104.64515
108.3,109.09343
73.8,85.45211
117.6,122.91942
84.8,83.75656
52.9,64.7214
71.0,70.912636
80.44444444,81.516396
59.1,65.37355
71.9,72.39217
56.6,56.689095
36.5,31.952715
89.3,89.69861
110.0,108.789505
102.2222222,106.26836
75.2,75.51127
122.4,123.43074
93.3,100.820274
28.8,33.38702
268.0,245.69145
40.0,40.28638
67.2,67.067825
114.1,113.09698
78.4,76.91544
31.4,30.988325
127.0,130.45152
106.7,106.771324
84.3,84.20321
184.3,186.98041
100.3,95.902054
84.0,87.19648
75.0,77.14363
108.9,109.34233
77.845,75.435974
106.5,106.01978
152.7,153.54858
128.8444444,128.20813
137.2,137.88788
38.5,36.386044
105.1,107.716835
62.2,63.812546
116.9333333,117.754234
102.9,102.149254
72.9,69.37108
56.4,59.375614
24.5,24.91921
90.0,89.62905
85.8,89.10031
41.0,41.473915
102.0,104.18439
104.9,99.10432
94.6,94.36185
132.0,133.85747
99.4,100.94805
111.55,114.92896
67.186,66.35082
75.0,77.10839
45.5,45.46159
153.3,151.30356
21.4,22.651566
66.5,66.05551
138.6,138.80458
60.0,58.397945
86.26666667,86.796776
199.1,189.32373
70.5,70.84411
106.8,100.29924
136.8,144.65933
79.11111111,78.96988
63.4,65.79598
33.2,31.677542
92.44444444,94.73554
99.8,100.89404
99.3,97.67981
91.6,91.91877
59.2,61.263363
86.2,86.480255
43.7,45.010883
177.7,164.37245
43.4,39.85268
60.8,60.394337
73.33333333,73.58005
107.6,105.487335
184.1,184.87704
116.1,113.1171
97.82222222,100.94746
230.0,210.10233
158.0444444,149.22932
148.1333333,146.56084
153.0,142.6846
69.0,68.19036
139.2,141.23071
90.2,104.85079
41.5,45.298965
86.8,86.758545
80.3,79.56406
104.4,106.801765
155.4,155.50812
60.5,58.976383
85.3,93.837975
93.95555556,93.63349
134.5,132.46835
30.6,35.871212
101.1,100.910545
80.1,75.83842
131.5,139.72935
112.6,113.36904
57.0,59.47161
62.4,62.213654
60.7,63.558743
85.6,80.435875
193.0,189.59439
144.4,144.44362
45.8,46.794678
102.2,103.12463
77.9,78.289085
127.9,130.5328
125.7,129.29343
85.9,98.374214
39.446,41.896767
78.7,77.47474
112.1,113.4154
55.4,50.4926
95.5,97.41255
85.5,89.38874
99.4,99.8602
115.2444444,113.77796
105.7,109.640564
123.6,122.71116
41.6,42.51849
58.4,57.801582
118.7,112.65975
59.5,59.039337
51.3,51.323856
108.7,110.141045
61.0,61.243443
225.3,215.76558
103.0,104.38454
104.4,105.87124
189.4,182.17957
104.0,102.18646
84.2,80.011475
138.5,136.85626
46.6,47.135
67.2,69.678955
72.3,71.737305
117.2,119.687935
150.8,152.20364
108.3,111.134445
112.4,115.046234
118.8,116.24034
76.4,76.4763
112.9,112.62499
81.0,80.52228
108.8,106.361755
110.0,114.80336
49.2,49.054703
67.1,66.43944
90.0,91.00233
191.4,193.7904
71.6,72.22402
102.5,100.304634
42.4,43.830578
57.1,56.693356
105.9,99.33893
117.1,115.944756
53.6,49.161465
96.6,97.77158
92.4,94.51985
65.2,67.41093
155.1,158.59082
45.6,46.12774
121.7,123.26529
75.5,75.20126
90.9,93.66224
50.4,51.316742
105.6,105.222755
133.8,137.53328
129.3,129.03741
165.9,166.81944
81.6,81.2793
85.3,85.6677
117.1,126.34079
103.4,103.05838
68.4,64.68
67.0,64.89496
116.7,115.749405
42.2,43.274868
123.8,124.693245
84.0,86.13256
44.88888889,47.747025
204.7,200.94316
189.4,182.72513
122.0,125.499176
51.9,50.753254
98.5,99.16771
94.6,93.52006
45.7,45.09568
23.3,30.276472
84.9,83.376686
43.4,45.47648
132.6222222,133.87776
82.0,82.79125
39.1,40.555866
62.22222222,61.179604
159.6,160.1975
84.3,85.250404
51.8,55.056503
103.0,101.24779
71.3,71.888985
156.54,145.80394
147.4,144.90033
64.8,57.007378
108.5,108.29622
101.2,101.58329
44.8,50.550632
49.2,48.230877
194.4,190.76656
132.9,129.12132
90.1,88.87818
26.7,27.469261
76.3,77.70814
172.4,173.39206
110.1333333,112.65471
91.0,88.76062
17.4,21.521582
67.8,76.746376
66.9,64.84546
30.4,30.732618
93.0,90.84188
89.33333333,92.0775
70.8,70.82186
67.6,68.80015
127.2,130.00241
75.0,75.64058
85.77777778,87.316826
27.2,26.311754
113.3333333,112.5395
108.1,112.00454
58.22222222,55.33365
56.0,55.24214
104.0,105.20587
