Feature Values,Partial Dependence Values
0.05,143.2161913707341
0.1,135.21976249737196
0.2,120.99324895684661
0.25,119.61940942997892
0.3,113.87477306656446
0.4,109.21126945264763
0.5,109.21126945264763
0.8,99.36753582720624
1.0,99.36753582720624
2.0,90.79356017103676
3.0,86.31044668080891
4.0,83.2900294756274
5.0,81.88064401178659
7.0,78.43251379086779
8.0,77.64360368189269
10.0,74.48079974341383
14.0,73.21876574925243
15.0,68.74002031446
20.0,67.95891471358445
30.0,61.619237084987596
40.0,61.39314817398452
50.0,59.61127004774608
60.0,52.70327084678138
70.0,52.33428478759383
80.0,45.917148452849275
100.0,45.917148452849275
200.0,44.39748129971478
