Feature Values,Partial Dependence Values
0.7,89.78054991054474
0.82,89.45668938095052
0.84,90.5640724453529
0.85,91.85270844247985
0.855,92.53449231116004
0.86,92.53449231116004
0.872,92.42913784784595
0.88,92.14107097296302
0.89,90.90378070024593
0.91,86.05672694135892
0.912,86.00700584402222
0.917,87.07987094308153
0.92,84.53145191299753
0.93,84.53684689637828
0.94,86.1863504305926
0.95,86.07324019804406
0.957,85.91989817410283
0.958,86.04646180237515
0.96,86.02088199546726
0.962,85.96043941726802
0.964,86.03166464453409
0.97,86.15572720272924
0.99,90.5988983217718
0.999,90.77319815298932
1.01,90.59757724619463
1.02,89.79324360811394
1.029,88.360167299554
1.04,88.360167299554
1.044,88.41224248020251
1.048,88.69601471818474
1.05,88.74056572364938
1.06,87.78337422029979
1.07,87.5820756823755
1.08,91.73351217577174
1.088,91.5989130533108
1.09,94.55139406600532
1.1,94.67815132705437
1.102,94.55457600003034
1.11,92.05889636493812
1.18,91.95180418017281
1.24,91.93559281466055
1.46,92.49283612396326
1.5,92.52947217182778
1.89,91.36509152520046
1.97,91.40001107609301
2.0,90.23226371691692
2.07,91.86475347011789
2.18,90.57867178558095
2.27,90.32202014395054
2.41,99.25273891215853
2.79,99.14440279180175
2.82,97.59273293211574
3.1,97.81739843415355
3.5,97.87520329678249
