Feature Values,Partial Dependence Values
0.0,79.85201557359713
0.53,80.37281391619815
0.8,81.34739740576177
0.89,81.44730993302484
0.93,80.86733447351479
0.95,81.57093935193237
1.09,81.57390175054383
1.3,81.63301028450414
1.47,81.62058882613245
1.49,81.63889397031187
1.59,81.73863725547272
1.6,87.29898559126215
1.64,90.2816649100543
1.74,90.31368620249077
1.8,88.07875933359796
1.82,89.19609486389564
1.93,91.47149039095828
1.98,93.39502733368747
2.11,94.46889848645036
2.3,94.4290914421353
2.34,97.33732959292443
2.41,97.42042161937404
2.44,97.45877407226114
2.53,97.4817780738108
2.61,97.4817780738108
2.67,97.4366721678236
2.74,98.13256941545848
2.75,97.4276235378031
2.99,97.69242584376006
3.05,98.72738048010639
3.1,95.73061609436242
3.29,94.58841732772231
3.44,94.89366443930363
3.51,95.18455023222417
3.52,94.13381687588821
3.67,94.13381687588821
3.95,94.15946294093506
4.2,94.27019170526607
4.25,95.43270271241133
5.19,95.56431772460887
5.3,95.08415658913883
5.41,93.22959723404202
5.7,93.23250703411851
6.25,93.36847782940978
6.3,93.31453062443434
6.7,93.42499205433555
7.2,100.38466694297122
7.37,99.83879676898384
7.83,99.989269776484
8.12,99.96561399099814
8.29,102.83111458727295
8.71,101.2722903303926
9.7,101.3770510491504
12.14,97.89173542939875
13.57,97.37576715702495
