Feature Values,Partial Dependence Values
1.9,97.11520344862042
1.91,96.67701617609657
2.05,96.82365913516064
2.75,96.86871096227019
3.37,95.11071211971301
3.55,93.41455320128517
3.9,93.72879631724462
4.2,93.90485697912456
4.3,91.23425305022303
4.41,91.08847606998788
4.77,88.17869336088579
4.8,91.78694743254108
4.81,91.78738552937625
4.89,91.76173012110614
5.12,91.91127022265347
5.5,92.41372240499022
5.51,92.41372240499022
5.52,92.70908143947678
5.68,92.0336682468437
6.1,92.82122179246005
6.15,92.8642342306137
6.2,91.07926780253763
6.3,90.97972064203616
6.42,90.47960603423773
6.8,92.92941403522455
6.82,91.71508808180734
6.93,91.40024544458839
6.98,89.769761029832
6.99,89.76058181419607
7.15,89.67302020248616
7.21,89.67302020248616
7.41,90.53587962111132
7.48,90.7824292812183
7.6,90.8408472037657
7.71,90.00148309539341
7.83,89.63378727094262
8.0,89.33876609038664
8.06,90.76394448651577
8.2,89.9515164962567
8.21,89.65880846931908
8.35,89.90159791066087
8.42,90.32298224848962
8.8,89.72619986496447
9.1,91.07255732621478
9.3,91.15943864530358
9.33,90.62006325428635
9.44,90.84411798079026
9.64,90.98318289177826
9.71,89.92793619939825
9.75,89.8157715464945
9.92,89.2367133679579
10.45,89.46607837849588
10.58,89.57695086406007
10.8,88.0230548273319
11.2,88.60690360568144
11.38,88.58096793337795
11.5,88.49615296263164
11.92,89.28821988392372
12.04,89.31250369723911
12.89,89.40354774785374
14.02,87.81792571372615
14.26,84.75637399529556
14.9,84.79296970234432
15.17,84.82825587139322
15.55,85.56868736074557
18.15,85.03173020997814
18.75,84.85976116881817
20.61,83.27439665731582
21.55,85.05948802663929
