Feature Values,Partial Dependence Values
0.1,70.18934376253056
0.26,75.28281359656883
0.27,83.24174204282612
0.315,78.19760458755198
0.32,87.55351455114504
0.38,87.17570117912882
0.41,89.72769264735008
0.447,88.85778913948023
0.448,83.44148724456511
0.504,82.74004347815666
0.54,82.62512032810591
0.55,82.62512032810591
0.551,84.10853341690768
0.575,85.04748951291873
0.58,85.1465350955842
0.6,81.94356481480263
0.68,83.94007823630105
0.72,83.13242876884
0.721,90.9088631917586
0.77,91.08331955177748
0.78,83.45296539156219
0.784,77.67355799628386
0.79,77.62301209093322
0.81,76.58171277664802
0.83,76.17167929198764
0.86,76.29186450332914
0.9,78.88548579298306
0.918,79.22570737241998
0.92,78.4206866988244
0.93,78.44855324934036
0.95,90.18993003802467
0.96,84.9286011884693
1.0,89.28577415006059
1.03,84.97039008914155
1.07,89.29658161120686
1.1,89.34153525998812
1.133,89.21044557905194
1.2,89.15196043298845
1.23,88.44161278934293
1.29,86.30148921154921
1.331,86.31958123688042
1.384,86.42923960686338
1.41,86.37199903166822
1.54,86.3685676818811
1.56,86.3613405283413
1.57,86.35821194452227
1.63,86.26839966152542
1.67,86.22373315941967
1.7,85.12434801352285
1.71,101.52950333015106
1.74,101.7786354146715
1.75,101.7599473046411
1.77,106.64819793909955
1.81,108.58499715487231
1.93,109.53934072698755
1.953,109.62885286735202
2.071,110.08505609774899
2.14,107.36527475460039
2.17,109.63664313978657
2.18,110.25661593507246
2.42,110.43593097361342
2.482,110.07394931247768
2.756,108.4883866596701
3.04,106.85404974257429
3.428,105.66355171137752
