Feature Values,Partial Dependence Values
0.7,92.675255
0.82,92.675255
0.84,94.43179
0.85,98.53152
0.855,97.65733
0.86,97.06328
0.872,96.56845
0.88,95.79619
0.91,95.47698
0.912,92.17913
0.917,92.33981
0.92,90.274445
0.94,90.59513
0.95,88.84537
0.9567,88.46701
0.958,88.65683
0.96,88.589676
0.962,88.71714
0.964,89.1984
0.97,89.20226
0.99,89.51203
0.999,89.649765
1.01,89.52307
1.02,88.96738
1.029,87.434685
1.04,87.554214
1.044,87.46079
1.048,87.79033
1.05,87.756134
1.06,89.41171
1.07,91.83439
1.08,94.62829
1.088,96.02005
1.09,96.26522
1.1,96.75106
1.102,96.300674
1.11,96.02324
1.18,95.27101
1.24,96.50965
1.46,96.99522
1.5,96.914505
1.89,95.40752
1.97,95.26429
2.0,94.106285
2.07,94.15001
2.18,94.09753
2.27,94.59197
2.41,95.97651
2.79,96.25671
2.82,95.99196
3.1,96.25938
3.5,96.25938
