Actual,Predicted
43.634,45.580364
161.1,161.36157
68.71111,67.45835
35.4,36.340427
73.5,89.033676
165.5,164.19048
89.8,91.05883
140.8,140.33133
150.0,167.8633
79.9,79.40176
51.7,53.414124
79.7,93.62358
189.3,136.87833
72.2,83.113716
49.5,88.16737
49.1,48.858753
112.5,110.29692
45.1,45.096504
110.9,114.71643
117.9,122.497955
66.9,66.90321
166.8,138.49973
92.4,79.604744
41.1,41.18771
103.8,101.48461
79.8,81.34873
61.7,61.266743
45.0,35.579235
102.0,102.27269
51.555557,53.985165
96.6,95.373764
61.2,61.11049
128.6,112.68481
108.5,69.14545
102.62222,101.84355
23.9,23.874329
81.7,81.14757
105.4,84.34231
117.1,114.382614
136.88889,93.9023
83.4,73.45031
84.5,38.34627
48.3,42.92181
100.2,103.82306
52.7,52.61973
58.2,57.515175
49.14,54.30114
120.9,126.7592
14.7,14.640558
131.8,131.90918
34.8,34.331608
74.2,74.17379
63.3,63.49255
102.5,86.61037
108.3,107.658966
73.8,76.33673
117.6,109.05945
84.8,77.778175
52.9,48.321754
71.0,71.4208
80.44444,89.04213
59.1,58.995182
71.9,72.09198
56.6,56.06484
36.5,38.949734
89.3,90.89563
110.0,101.87292
102.22222,92.16144
75.2,74.56613
122.4,79.9368
93.3,81.4582
28.8,29.053288
268.0,201.65382
40.0,42.850044
67.2,67.47107
114.1,101.656204
78.4,77.62021
31.4,30.567879
127.0,148.71906
106.7,104.32526
84.3,83.2393
184.3,217.26
100.3,91.06944
84.0,85.528564
75.0,60.60906
108.9,94.00318
77.845,72.809616
106.5,111.10608
152.7,162.54407
128.84445,129.55702
137.2,143.66861
38.5,38.607754
105.1,103.35104
62.2,62.823578
116.933334,118.182304
102.9,70.08118
72.9,74.05964
56.4,56.62446
24.5,25.190056
90.0,89.169846
85.8,100.64253
41.0,41.032307
102.0,103.064766
104.9,80.04561
94.6,98.244644
132.0,130.227
99.4,108.786606
111.55,84.96816
67.186,68.78778
75.0,77.77902
45.5,45.675243
153.3,150.47008
21.4,21.482979
66.5,51.008923
138.6,136.24605
60.0,60.240925
86.26667,84.571144
199.1,181.58714
70.5,72.6603
106.8,109.57209
136.8,110.23068
79.111115,74.037476
63.4,37.65478
33.2,32.925873
92.44444,90.05989
99.8,101.36356
99.3,100.19342
91.6,92.959305
59.2,65.286934
86.2,85.47824
43.7,43.722878
177.7,86.63533
43.4,49.19549
60.8,60.965073
73.333336,67.17371
107.6,103.38886
184.1,170.15288
116.1,125.11275
97.82222,97.09697
230.0,174.05272
158.04445,141.80199
148.13333,141.16467
153.0,118.06934
69.0,69.06862
139.2,120.37622
90.2,73.1048
41.5,54.041965
86.8,87.50604
80.3,81.03376
104.4,97.25368
155.4,158.2726
60.5,63.884792
85.3,84.3844
93.95556,94.79216
134.5,80.03554
30.6,30.492474
101.1,91.96606
80.1,82.28215
131.5,128.79628
112.6,127.57898
57.0,67.4028
62.4,62.089203
60.7,60.082283
85.6,84.895325
193.0,143.51389
144.4,144.43832
45.8,66.21608
102.2,101.66417
77.9,79.95267
127.9,78.69883
125.7,131.21342
85.9,68.71599
39.446,40.425793
78.7,78.88416
112.1,111.59343
55.4,54.727528
95.5,91.52472
85.5,64.21371
99.4,93.54919
115.244446,110.377396
105.7,105.206055
123.6,119.28449
41.6,41.694897
58.4,59.20692
118.7,113.7065
59.5,61.007046
51.3,55.28035
108.7,111.35527
61.0,60.527447
225.3,169.01628
103.0,102.72135
104.4,70.14422
189.4,130.46976
104.0,99.42933
84.2,77.54776
138.5,97.33413
46.6,42.96248
67.2,67.36175
72.3,72.06014
117.2,120.79979
150.8,152.72456
108.3,108.733795
112.4,112.66324
118.8,86.89743
76.4,77.16468
112.9,117.83704
81.0,79.62669
108.8,101.53288
110.0,111.9184
49.2,49.399128
67.1,66.69599
90.0,90.06615
191.4,158.61307
71.6,73.1981
102.5,104.04321
42.4,41.949036
57.1,52.866783
105.9,85.89524
117.1,119.905716
53.6,53.883175
96.6,90.90245
92.4,93.45148
65.2,67.912605
155.1,157.07364
45.6,45.50071
121.7,129.05789
75.5,75.385155
90.9,99.75354
50.4,52.41064
105.6,81.71331
133.8,134.16078
129.3,127.32028
165.9,165.21198
81.6,81.79997
85.3,79.453354
117.1,111.2139
103.4,99.61542
68.4,73.566956
67.0,103.42827
116.7,99.34619
42.2,42.28459
123.8,130.74489
84.0,82.994736
44.88889,46.554813
204.7,167.33626
189.4,142.87424
122.0,121.86378
51.9,55.11446
98.5,83.679474
94.6,84.95032
45.7,45.10128
23.3,23.276926
84.9,78.94273
43.4,41.63117
132.62222,136.51324
82.0,83.19166
39.1,39.45938
62.22222,63.459034
159.6,159.06647
84.3,84.97426
51.8,58.081867
103.0,102.480804
71.3,71.537186
156.54,86.2193
147.4,146.53203
64.8,66.28713
108.5,83.510605
101.2,95.27957
44.8,44.99131
49.2,49.537632
194.4,172.80345
132.9,94.33432
90.1,89.8031
26.7,26.424381
76.3,77.79278
172.4,174.19218
110.13333,108.92052
91.0,91.010864
17.4,17.584814
67.8,60.610523
66.9,71.8584
30.4,30.55769
93.0,78.045265
89.333336,92.47919
70.8,71.334015
67.6,68.00737
127.2,114.43271
75.0,75.83542
85.77778,85.018005
27.2,27.30922
113.333336,93.296555
108.1,103.656265
58.22222,66.59627
56.0,59.65399
104.0,106.83357
148.5,84.65155
72.0,70.117096
100.0,92.5551
163.5,213.67244
88.26667,88.48576
144.7,153.64293
86.9,87.03877
90.0,92.47661
65.0,65.27596
115.44,97.879364
150.3,144.2125
106.53333,105.57144
99.4,99.053024
149.2,141.98152
77.022224,76.16012
209.1,172.7403
72.4,72.51471
72.2,72.54851
98.2,92.95213
95.6,95.12831
67.5,67.37627
64.44444,64.99925
97.2,85.54238
139.6,139.88919
92.4,91.80289
94.2,97.11413
89.5,90.153114
159.9,121.65253
82.4,84.51225
90.4,92.40335
85.0,47.59393
153.4,110.184265
61.77778,60.904507
66.5,66.84433
113.3,113.91385
109.9,111.677185
77.7,77.83655
86.8,80.01224
69.1,69.03444
86.4,85.19609
134.3,152.22466
39.7,38.19289
116.5,120.952225
56.0,62.885418
74.4,67.362946
83.0,69.75522
130.4,126.700775
113.86667,112.69045
92.4,68.10423
69.7,68.57453
31.555555,32.159893
79.7,78.60641
101.9,101.428734
50.7,36.271236
118.9,118.0473
