O,N,B,S,P,SSA,PV,RMIC,Dap,ID/IG,M,Anion,CC,AML,PW,CD,Cs
7.15,3.52,0.0,0.0,0.0,1546.1,0.5753,0.939857465670085,1.4883901429403017,1.029,2,SO4,carbon cloth,1.0,1.6,0.1,85.0
8.12,3.79,3.66,0.0,0.0,1315.2,0.5116,0.9313917122752149,1.555961070559611,1.038,2,SO4,carbon cloth,1.0,1.6,0.1,114.0
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,0.20930232558139533,3.015427769985975,0.82,1,OTf,stainless-steel mesh,2.5,1.8,0.1,90.2
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,0.20930232558139533,3.015427769985975,0.82,1,OTf,stainless-steel mesh,2.5,1.8,0.25,86.3
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,0.20930232558139533,3.015427769985975,0.82,1,OTf,stainless-steel mesh,2.5,1.8,0.5,79.9
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,0.20930232558139533,3.015427769985975,0.82,1,OTf,stainless-steel mesh,2.5,1.8,1.0,70.3
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,0.20930232558139533,3.015427769985975,0.82,1,OTf,stainless-steel mesh,2.5,1.8,2.0,64.8
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,0.20930232558139533,3.015427769985975,0.82,1,OTf,stainless-steel mesh,2.5,1.8,5.0,51.5
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,0.20930232558139533,3.015427769985975,0.82,1,OTf,stainless-steel mesh,2.5,1.8,10.0,38.5
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,0.20930232558139533,3.015427769985975,0.82,1,OTf,stainless-steel mesh,2.5,1.8,20.0,23.3
17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.2058823529411765,2.677165354330709,0.86,1,OTf,stainless-steel mesh,2.5,1.8,0.1,69.1
17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.2058823529411765,2.677165354330709,0.86,1,OTf,stainless-steel mesh,2.5,1.8,0.25,60.1
17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.2058823529411765,2.677165354330709,0.86,1,OTf,stainless-steel mesh,2.5,1.8,0.5,56.4
17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.2058823529411765,2.677165354330709,0.86,1,OTf,stainless-steel mesh,2.5,1.8,1.0,47.4
17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.2058823529411765,2.677165354330709,0.86,1,OTf,stainless-steel mesh,2.5,1.8,2.0,40.9
17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.2058823529411765,2.677165354330709,0.86,1,OTf,stainless-steel mesh,2.5,1.8,5.0,34.2
17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.2058823529411765,2.677165354330709,0.86,1,OTf,stainless-steel mesh,2.5,1.8,10.0,19.8
17.66,3.01,0.0,1.12,0.0,508.0,0.34,0.2058823529411765,2.677165354330709,0.86,1,OTf,stainless-steel mesh,2.5,1.8,20.0,9.5
16.08,2.82,0.0,1.78,0.0,1384.7,0.97,0.15463917525773196,2.8020509857730915,0.89,1,OTf,stainless-steel mesh,2.5,1.8,0.1,136.3
16.08,2.82,0.0,1.78,0.0,1384.7,0.97,0.15463917525773196,2.8020509857730915,0.89,1,OTf,stainless-steel mesh,2.5,1.8,0.25,126.4
16.08,2.82,0.0,1.78,0.0,1384.7,0.97,0.15463917525773196,2.8020509857730915,0.89,1,OTf,stainless-steel mesh,2.5,1.8,0.5,120.3
