O,N,SSA,PV,RMIC,Dap,ID/IG,Anion,CD,Cs
7.15,3.52,1546.1,0.575,93.986,1.49,1.029,0,0.1,85
21.55,3.29,1140.8,0.86,20.93,3.02,0.82,1,0.1,90.2
21.55,3.29,1140.8,0.86,20.93,3.02,0.82,1,0.25,86.3
21.55,3.29,1140.8,0.86,20.93,3.02,0.82,1,0.5,79.9
21.55,3.29,1140.8,0.86,20.93,3.02,0.82,1,1,70.3
21.55,3.29,1140.8,0.86,20.93,3.02,0.82,1,2,64.8
21.55,3.29,1140.8,0.86,20.93,3.02,0.82,1,5,51.5
21.55,3.29,1140.8,0.86,20.93,3.02,0.82,1,10,38.5
21.55,3.29,1140.8,0.86,20.93,3.02,0.82,1,20,23.3
8.2,5.3,879,0.447,60.626,2.03,2.27,0,0.1,136.8
8.2,5.3,879,0.447,60.626,2.03,2.27,0,0.5,110.9
8.2,5.3,879,0.447,60.626,2.03,2.27,0,1,102.6
8.2,5.3,879,0.447,60.626,2.03,2.27,0,5,76.1
8.2,5.3,879,0.447,60.626,2.03,2.27,0,10,66.5
5.68,1.49,1640.1,1.41,32.624,7.91,0.95,0,0.05,109.7
5.68,1.49,1640.1,1.41,32.624,7.91,0.95,0,0.1,93.3
5.68,1.49,1640.1,1.41,32.624,7.91,0.95,0,0.2,84.6
5.68,1.49,1640.1,1.41,32.624,7.91,0.95,0,0.3,81
5.68,1.49,1640.1,1.41,32.624,7.91,0.95,0,0.5,76.3
5.68,1.49,1640.1,1.41,32.624,7.91,0.95,0,1,71.6
5.68,1.49,1640.1,1.41,32.624,7.91,0.95,0,2,67.6
5.68,1.49,1640.1,1.41,32.624,7.91,0.95,0,3,65.1
5.68,1.49,1640.1,1.41,32.624,7.91,0.95,0,5,62.4
5.68,1.49,1640.1,1.41,32.624,7.91,0.95,0,10,59.5
5.68,1.49,1640.1,1.41,32.624,7.91,0.95,0,15,58.4
5.68,1.49,1640.1,1.41,32.624,7.91,0.95,0,20,57.1
11.5,6.7,642,1.03,14.563,3.73,0.964,0,0.1,133.7
11.5,6.7,642,1.03,14.563,3.73,0.964,0,0.2,102.5
11.5,6.7,642,1.03,14.563,3.73,0.964,0,0.5,84.3
11.5,6.7,642,1.03,14.563,3.73,0.964,0,1,75
11.5,6.7,642,1.03,14.563,3.73,0.964,0,2,69.1
11.5,6.7,642,1.03,14.563,3.73,0.964,0,5,61.7
11.5,6.7,642,1.03,14.563,3.73,0.964,0,10,56.6
11.5,6.7,642,1.03,14.563,3.73,0.964,0,20,51.9
11.5,6.7,642,1.03,14.563,3.73,0.964,0,50,45.6
11.5,6.7,642,1.03,14.563,3.73,0.964,0,100,39.7
11.5,6.7,642,1.03,14.563,3.73,0.964,0,200,30.6
