O,N,SSA,PV,RMIC,Dap,ID/IG,Anion,CD,Cs
8.8,0.93,1207.3,0.55,70.909,1.8,1.05,0,5.0,49.1
4.3,0.0,1655.0,0.81,71.605,1.95,1.05,0,1.0,64.4
8.06,0.0,1770.0,0.721,57.627,1.63,1.1,0,5.0,117.0
4.77,0.0,1644.0,0.96,57.083,2.34,1.06,0,2.0,36.5
5.12,0.0,907.9,0.68,40.0,3.0,0.89,0,0.5,67.8
5.68,1.49,1640.1,1.41,32.624,7.91,0.95,0,3.0,65.1
6.42,2.75,1301.6,3.04,9.719,9.34,0.92,0,3.0,51.7
6.3,0.0,1886.0,0.93,70.968,1.98,1.04,0,10.0,56.4
8.0,8.12,1685.0,1.2,18.872,2.85,0.85,1,1.0,127.3
9.44,0.8,2295.3,1.63,55.828,2.84,1.18,0,10.0,74.4
14.02,1.93,3292.0,1.54,69.481,1.87,1.048,0,0.1,142.2
6.8,0.0,1410.0,0.77,63.636,2.19,1.09,0,20.0,79.1
2.75,0.95,1687.1,1.75,9.2,4.15,1.11,1,1.0,102.0
4.77,0.0,1644.0,0.96,57.083,2.34,1.06,0,1.0,40.0
12.04,8.29,1530.9,0.96,38.542,2.51,0.86,1,0.2,181.5
6.99,1.59,2465.9,1.29,0.0,2.09,0.912,0,3.0,52.7
9.92,0.0,1667.3,1.23,52.846,2.95,1.1,0,0.5,101.2
7.71,0.0,804.0,0.315,62.189,1.57,0.97,0,7.0,30.2
5.52,0.89,2276.0,1.331,20.962,2.34,0.872,0,0.5,95.6
8.2,0.0,1500.0,0.78,69.231,2.1,1.01,0,20.0,58.2
6.98,2.3,2353.0,2.14,37.85,3.64,2.18,1,5.0,91.6
4.89,1.74,1666.8,2.42,10.685,5.81,0.88,0,10.0,83.3
12.04,8.29,1530.9,0.96,38.542,2.51,0.86,1,2.0,141.1
6.93,1.98,3415.3,2.482,15.995,2.91,2.82,0,20.0,118.9
9.3,0.0,1781.0,0.784,53.341,1.76,1.18,0,15.0,60.5
9.75,7.83,2370.0,2.18,28.987,3.68,0.85,1,2.0,163.5
8.0,8.12,1685.0,1.2,18.872,2.85,0.85,1,0.5,146.9
12.89,3.05,3224.9,1.93,48.187,2.39,0.94,0,10.0,129.3
4.89,1.74,1666.8,2.42,10.685,5.81,0.88,0,3.0,95.6
