PV,RMIC,Partial Dependence
0.1,0.0,78.52766
0.26,0.0,78.52766
0.27,0.0,78.65147
0.315,0.0,79.09934
0.32,0.0,79.80495
0.38,0.0,79.83452
0.41,0.0,79.83043
0.447,0.0,79.95649
0.448,0.0,80.17339
0.5043,0.0,80.409805
0.54,0.0,80.3542
0.55,0.0,80.310234
0.551,0.0,82.2805
0.575,0.0,82.62846
0.5753,0.0,82.409035
0.58,0.0,82.77766
0.72,0.0,82.74842
0.721,0.0,83.65569
0.77,0.0,83.66584
0.78,0.0,80.09878
0.784,0.0,79.90538
0.79,0.0,79.69682
0.81,0.0,79.50241
0.83,0.0,79.474495
0.86,0.0,79.87256
0.9,0.0,80.47807
0.918,0.0,82.18423
0.93,0.0,82.49336
0.95,0.0,82.95943
0.96,0.0,82.795425
1.0,0.0,84.6347
1.03,0.0,84.61002
1.07,0.0,84.762764
1.1,0.0,84.78991
1.133,0.0,84.823616
1.2,0.0,84.40142
1.23,0.0,84.44126
1.29,0.0,84.46253
1.331,0.0,85.12912
1.384,0.0,85.37861
1.41,0.0,85.43144
1.54,0.0,85.46328
1.56,0.0,85.44007
1.57,0.0,86.3912
1.63,0.0,86.366745
1.67,0.0,85.91886
1.7,0.0,85.72785
1.71,0.0,85.89629
1.74,0.0,86.60448
1.75,0.0,88.416756
1.77,0.0,89.10125
1.81,0.0,90.39231
1.93,0.0,90.50356
1.953,0.0,90.9834
2.071,0.0,92.19589
2.14,0.0,91.66066
2.17,0.0,92.70398
2.18,0.0,94.01759
2.42,0.0,93.95122
2.482,0.0,91.94817
2.756,0.0,90.8401
3.04,0.0,89.86564
3.428,0.0,89.86564
0.1,9.2,78.26761
0.26,9.2,78.26761
0.27,9.2,78.39143
0.315,9.2,78.83931
0.32,9.2,79.55407
0.38,9.2,79.58364
0.41,9.2,79.57956
0.447,9.2,79.70561
0.448,9.2,79.92252
0.5043,9.2,80.158936
0.54,9.2,80.10332
0.55,9.2,80.059364
0.551,9.2,82.029625
0.575,9.2,82.377594
0.5753,9.2,82.15816
0.58,9.2,82.52677
0.72,9.2,82.49755
0.721,9.2,83.404816
0.77,9.2,83.41496
0.78,9.2,79.8479
