Feature Values,Partial Dependence Values
1.9,94.67944
1.91,94.67944
2.05,94.67944
2.75,94.585594
3.37,94.64424
3.55,95.13844
3.9,94.767105
4.2,92.38288
4.3,92.39294
4.41,92.05401
4.77,92.07051
4.8,93.382484
4.81,93.35588
4.89,93.45301
5.5,93.29759
5.51,93.19366
5.52,93.41456
5.68,93.1171
6.1,93.01883
6.15,92.58326
6.2,92.781525
6.3,92.38179
6.42,92.60389
6.8,93.246796
6.82,93.18089
6.93,93.233025
6.98,93.48452
6.99,92.73384
7.15,92.598724
7.21,92.63048
7.41,93.07669
7.48,94.09336
7.6,94.44774
7.71,95.74033
8.0,95.79774
8.06,96.688805
8.2,96.075554
8.35,95.97958
8.42,95.38563
8.8,95.088
9.1,94.950584
9.3,94.37111
9.33,94.83979
9.44,94.05882
9.64,93.914536
9.71,92.73522
9.75,92.88116
9.92,92.47375
10.45,92.27294
10.58,91.240005
10.8,91.45513
11.2,91.3509
11.38,91.87856
11.5,92.26383
11.92,93.010956
12.04,92.84766
12.89,92.35697
14.02,91.75506
14.26,90.599655
14.9,90.89844
15.17,90.77499
15.55,92.66727
18.15,92.80996
18.75,91.19904
20.61,90.2084
21.55,90.2084
