Feature Values,Partial Dependence Values
0.1,84.63909
0.26,84.63909
0.27,84.77742
0.315,85.2253
0.32,87.98223
0.38,88.00628
0.41,88.00948
0.447,88.13053
0.448,88.32063
0.5043,88.615364
0.54,88.49183
0.55,88.29827
0.551,90.29663
0.575,90.48426
0.5753,90.035286
0.58,90.38719
0.72,90.29149
0.721,91.24392
0.77,91.27864
0.78,87.46028
0.784,87.283676
0.79,87.12088
0.81,86.957245
0.83,86.89844
0.86,87.252144
0.9,87.83351
0.918,89.46245
0.93,89.91663
0.95,92.47652
0.96,92.198875
1.0,93.696175
1.03,93.779106
1.07,93.98467
1.1,94.00046
1.133,94.03416
1.2,93.59184
1.23,93.23603
1.29,93.57699
1.331,94.02771
1.384,94.22733
1.41,94.281075
1.54,94.35412
1.56,94.2673
1.57,95.1774
1.63,95.2941
1.67,94.82472
1.7,94.71804
1.71,95.16804
1.74,95.88143
1.75,97.610435
1.77,98.286896
1.81,100.136635
1.93,100.30545
1.953,100.70869
2.071,101.89064
2.14,101.15842
2.17,102.09567
2.18,103.85865
2.42,103.79228
2.482,101.75505
2.756,100.366165
3.04,99.353485
3.428,99.353485
